url,recipe_name,ingredient_raw,ingredient_key,quantity,unit
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,1/4 cup plus 1 tablespoon granulated sugar (about 2 1/4 ounces; 65g),plus 1 tablespoon granulated sugar (about 2 1/4 ounces; 65g),0.25,cup
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,1 tablespoon finely grated orange zest from 2 medium navel oranges,finely grated orange zest from 2 medium navel oranges,1.0,tbsp
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,2 large eggs,large eggs,2.0,
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,1 1/4 cups (300ml) whole milk,(300ml) whole milk,1.25,cup
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,"1 tablespoon unsalted butter (about 1/2 ounce; 14g), melted and cooled slightly","unsalted butter (about 1/2 ounce; 14g), melted and cooled slightly",1.0,tbsp
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,1 teaspoon vanilla extract,vanilla extract,1.0,tsp
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,"1 tablespoon orange sugar, see above","orange sugar, see above",1.0,tbsp
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,"1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume","diamond crystal kosher salt; for table salt, use half as much by volume",0.25,tsp
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,1 cup all-purpose flour (4 1/2 ounces; 128g),all-purpose flour (4 1/2 ounces; 128g),1.0,cup
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,8 tablespoons unsalted butter (4 ounces; 113g),unsalted butter (4 ounces; 113g),8.0,tbsp
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,"1/4 cup orange sugar, see above","orange sugar, see above",0.25,cup
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,"1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume","diamond crystal kosher salt; for table salt, use half as much by volume",0.25,tsp
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,2/3 cup (160ml) orange juice from 2 medium oranges,(160ml) orange juice from 2 medium oranges,0.6666666666666666,cup
https://www.seriouseats.com/crepes-suzette-recipe-11876712,Crepes Suzette,"3 tablespoons (45ml) orange liqueur, such as Cointreau or Grand Marnier","(45ml) orange liqueur, such as cointreau or grand marnier",3.0,tbsp
https://www.seriouseats.com/cream-cheese-and-pepper-jelly-tart-recipe-11875230,Cream Cheese and Pepper Jelly Tart,"1 (8.6 ounce; 245 g) sheet puff pastry from 1 (17.3 ounce) package, thawed","(8.6 ounce; 245 g) sheet puff pastry from 1 (17.3 ounce) package, thawed",1.0,
https://www.seriouseats.com/cream-cheese-and-pepper-jelly-tart-recipe-11875230,Cream Cheese and Pepper Jelly Tart,"All-purpose flour, for dusting","all-purpose flour, for dusting",0.0,
https://www.seriouseats.com/cream-cheese-and-pepper-jelly-tart-recipe-11875230,Cream Cheese and Pepper Jelly Tart,"1 large egg beaten lightly with 1 teaspoon water, for egg wash","large egg beaten lightly with 1 teaspoon water, for egg wash",1.0,
